Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
2017-05-05 17:26:05.207220: step 0, loss = 4.68 (98.5 examples/sec; 1.299 sec/batch)
2017-05-05 17:26:05.841447: step 10, loss = 4.65 (2018.2 examples/sec; 0.063 sec/batch)
2017-05-05 17:26:06.615704: step 20, loss = 4.64 (1653.2 examples/sec; 0.077 sec/batch)
2017-05-05 17:26:07.382971: step 30, loss = 4.57 (1668.3 examples/sec; 0.077 sec/batch)
2017-05-05 17:26:08.147477: step 40, loss = 4.49 (1674.3 examples/sec; 0.076 sec/batch)
2017-05-05 17:26:08.921517: step 50, loss = 4.47 (1653.7 examples/sec; 0.077 sec/batch)
2017-05-05 17:26:09.695230: step 60, loss = 4.39 (1654.4 examples/sec; 0.077 sec/batch)
2017-05-05 17:26:10.467827: step 70, loss = 4.46 (1656.7 examples/sec; 0.077 sec/batch)
2017-05-05 17:26:11.235134: step 80, loss = 4.37 (1668.2 examples/sec; 0.077 sec/batch)
2017-05-05 17:26:11.997625: step 90, loss = 4.37 (1678.7 examples/sec; 0.076 sec/batch)
2017-05-05 17:26:12.767951: step 100, loss = 4.24 (1661.6 examples/sec; 0.077 sec/batch)
2017-05-05 17:26:13.539691: step 110, loss = 4.21 (1658.6 examples/sec; 0.077 sec/batch)
2017-05-05 17:26:14.315875: step 120, loss = 4.26 (1649.1 examples/sec; 0.078 sec/batch)
2017-05-05 17:26:15.090880: step 130, loss = 4.21 (1651.6 examples/sec; 0.078 sec/batch)
2017-05-05 17:26:15.850058: step 140, loss = 4.46 (1686.0 examples/sec; 0.076 sec/batch)
2017-05-05 17:26:16.619771: step 150, loss = 4.09 (1663.0 examples/sec; 0.077 sec/batch)
2017-05-05 17:26:17.389822: step 160, loss = 4.17 (1662.2 examples/sec; 0.077 sec/batch)
2017-05-05 17:26:18.161013: step 170, loss = 4.38 (1659.8 examples/sec; 0.077 sec/batch)
2017-05-05 17:26:18.930886: step 180, loss = 4.19 (1662.6 examples/sec; 0.077 sec/batch)
2017-05-05 17:26:19.688962: step 190, loss = 4.02 (1688.5 examples/sec; 0.076 sec/batch)
2017-05-05 17:26:20.482954: step 200, loss = 4.09 (1612.1 examples/sec; 0.079 sec/batch)
2017-05-05 17:26:21.243830: step 210, loss = 4.40 (1682.3 examples/sec; 0.076 sec/batch)
2017-05-05 17:26:22.020530: step 220, loss = 4.08 (1648.0 examples/sec; 0.078 sec/batch)
2017-05-05 17:26:22.791744: step 230, loss = 3.95 (1659.7 examples/sec; 0.077 sec/batch)
2017-05-05 17:26:23.556132: step 240, loss = 4.44 (1674.5 examples/sec; 0.076 sec/batch)
2017-05-05 17:26:24.324244: step 250, loss = 4.03 (1666.4 examples/sec; 0.077 sec/batch)
2017-05-05 17:26:25.103026: step 260, loss = 4.03 (1643.6 examples/sec; 0.078 sec/batch)
2017-05-05 17:26:25.877034: step 270, loss = 3.94 (1653.7 examples/sec; 0.077 sec/batch)
2017-05-05 17:26:26.649587: step 280, loss = 4.09 (1656.8 examples/sec; 0.077 sec/batch)
2017-05-05 17:26:27.422400: step 290, loss = 3.79 (1656.4 examples/sec; 0.077 sec/batch)
2017-05-05 17:26:28.196973: step 300, loss = 3.95 (1652.4 examples/sec; 0.077 sec/batch)
