Connecting to port  12361
Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
Received variable values from ps
2017-05-07 20:12:37.672248: step 0, loss = 4.67 (80.7 examples/sec; 1.585 sec/batch)
2017-05-07 20:12:38.621012: step 10, loss = 4.62 (1349.2 examples/sec; 0.095 sec/batch)
2017-05-07 20:12:39.764127: step 20, loss = 4.55 (1119.7 examples/sec; 0.114 sec/batch)
2017-05-07 20:12:40.885291: step 30, loss = 4.65 (1141.7 examples/sec; 0.112 sec/batch)
2017-05-07 20:12:42.020060: step 40, loss = 4.44 (1128.0 examples/sec; 0.113 sec/batch)
2017-05-07 20:12:43.066503: step 50, loss = 4.32 (1223.2 examples/sec; 0.105 sec/batch)
2017-05-07 20:12:44.331558: step 60, loss = 4.42 (1011.8 examples/sec; 0.127 sec/batch)
2017-05-07 20:12:45.587625: step 70, loss = 4.30 (1019.1 examples/sec; 0.126 sec/batch)
2017-05-07 20:12:46.839154: step 80, loss = 4.14 (1022.7 examples/sec; 0.125 sec/batch)
2017-05-07 20:12:48.115414: step 90, loss = 4.41 (1002.9 examples/sec; 0.128 sec/batch)
2017-05-07 20:12:49.535730: step 100, loss = 4.07 (901.2 examples/sec; 0.142 sec/batch)
2017-05-07 20:12:50.676706: step 110, loss = 4.22 (1121.8 examples/sec; 0.114 sec/batch)
2017-05-07 20:12:51.975152: step 120, loss = 4.10 (985.8 examples/sec; 0.130 sec/batch)
2017-05-07 20:12:53.258025: step 130, loss = 4.03 (997.8 examples/sec; 0.128 sec/batch)
2017-05-07 20:12:54.515153: step 140, loss = 4.07 (1018.2 examples/sec; 0.126 sec/batch)
2017-05-07 20:12:55.786502: step 150, loss = 3.84 (1006.8 examples/sec; 0.127 sec/batch)
2017-05-07 20:12:57.055096: step 160, loss = 3.83 (1009.0 examples/sec; 0.127 sec/batch)
2017-05-07 20:12:58.325637: step 170, loss = 3.71 (1007.4 examples/sec; 0.127 sec/batch)
2017-05-07 20:12:59.587574: step 180, loss = 3.60 (1014.3 examples/sec; 0.126 sec/batch)
2017-05-07 20:13:00.839867: step 190, loss = 3.64 (1022.1 examples/sec; 0.125 sec/batch)
2017-05-07 20:13:02.204224: step 200, loss = 3.62 (938.2 examples/sec; 0.136 sec/batch)
2017-05-07 20:13:03.352061: step 210, loss = 3.68 (1115.1 examples/sec; 0.115 sec/batch)
2017-05-07 20:13:04.621421: step 220, loss = 3.65 (1008.4 examples/sec; 0.127 sec/batch)
2017-05-07 20:13:05.916297: step 230, loss = 3.66 (988.5 examples/sec; 0.129 sec/batch)
2017-05-07 20:13:07.212315: step 240, loss = 3.63 (987.6 examples/sec; 0.130 sec/batch)
2017-05-07 20:13:08.481250: step 250, loss = 3.53 (1008.7 examples/sec; 0.127 sec/batch)
2017-05-07 20:13:09.751873: step 260, loss = 3.62 (1007.4 examples/sec; 0.127 sec/batch)
2017-05-07 20:13:11.019408: step 270, loss = 3.47 (1009.8 examples/sec; 0.127 sec/batch)
2017-05-07 20:13:12.306141: step 280, loss = 3.36 (994.8 examples/sec; 0.129 sec/batch)
2017-05-07 20:13:13.567136: step 290, loss = 3.24 (1015.1 examples/sec; 0.126 sec/batch)
2017-05-07 20:13:14.971515: step 300, loss = 3.39 (911.4 examples/sec; 0.140 sec/batch)
2017-05-07 20:13:16.114484: step 310, loss = 3.24 (1119.9 examples/sec; 0.114 sec/batch)
2017-05-07 20:13:17.367753: step 320, loss = 3.22 (1021.3 examples/sec; 0.125 sec/batch)
2017-05-07 20:13:18.663124: step 330, loss = 3.14 (988.1 examples/sec; 0.130 sec/batch)
2017-05-07 20:13:19.960882: step 340, loss = 3.06 (986.3 examples/sec; 0.130 sec/batch)
2017-05-07 20:13:21.258293: step 350, loss = 3.24 (986.6 examples/sec; 0.130 sec/batch)
2017-05-07 20:13:22.525269: step 360, loss = 3.37 (1010.3 examples/sec; 0.127 sec/batch)
2017-05-07 20:13:23.810589: step 370, loss = 3.24 (995.9 examples/sec; 0.129 sec/batch)
2017-05-07 20:13:25.106947: step 380, loss = 3.16 (987.4 examples/sec; 0.130 sec/batch)
2017-05-07 20:13:26.367736: step 390, loss = 2.93 (1015.2 examples/sec; 0.126 sec/batch)
2017-05-07 20:13:27.751186: step 400, loss = 3.20 (925.2 examples/sec; 0.138 sec/batch)
2017-05-07 20:13:28.936010: step 410, loss = 2.98 (1080.3 examples/sec; 0.118 sec/batch)
2017-05-07 20:13:30.207553: step 420, loss = 3.10 (1006.7 examples/sec; 0.127 sec/batch)
2017-05-07 20:13:31.511214: step 430, loss = 2.91 (981.8 examples/sec; 0.130 sec/batch)
