Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
Received variable values from ps
Connected to both PSs
2017-05-09 20:59:39.850280: step 0, loss = 4.68 (92.9 examples/sec; 1.377 sec/batch)
2017-05-09 20:59:40.786288: step 10, loss = 4.63 (1367.5 examples/sec; 0.094 sec/batch)
2017-05-09 20:59:41.936245: step 20, loss = 4.58 (1113.1 examples/sec; 0.115 sec/batch)
2017-05-09 20:59:43.091665: step 30, loss = 4.52 (1107.8 examples/sec; 0.116 sec/batch)
2017-05-09 20:59:44.252426: step 40, loss = 5.18 (1102.7 examples/sec; 0.116 sec/batch)
2017-05-09 20:59:45.423579: step 50, loss = 4.50 (1092.9 examples/sec; 0.117 sec/batch)
2017-05-09 20:59:46.574875: step 60, loss = 4.41 (1111.8 examples/sec; 0.115 sec/batch)
2017-05-09 20:59:47.733010: step 70, loss = 4.29 (1105.2 examples/sec; 0.116 sec/batch)
2017-05-09 20:59:48.878315: step 80, loss = 4.29 (1117.6 examples/sec; 0.115 sec/batch)
2017-05-09 20:59:50.046696: step 90, loss = 4.23 (1095.5 examples/sec; 0.117 sec/batch)
2017-05-09 20:59:51.334530: step 100, loss = 4.19 (993.9 examples/sec; 0.129 sec/batch)
2017-05-09 20:59:52.321436: step 110, loss = 4.13 (1297.0 examples/sec; 0.099 sec/batch)
2017-05-09 20:59:53.611757: step 120, loss = 4.31 (992.0 examples/sec; 0.129 sec/batch)
2017-05-09 20:59:54.882260: step 130, loss = 4.12 (1007.5 examples/sec; 0.127 sec/batch)
2017-05-09 20:59:56.157404: step 140, loss = 4.16 (1003.8 examples/sec; 0.128 sec/batch)
2017-05-09 20:59:57.458874: step 150, loss = 4.00 (983.5 examples/sec; 0.130 sec/batch)
2017-05-09 20:59:58.771239: step 160, loss = 3.88 (975.3 examples/sec; 0.131 sec/batch)
2017-05-09 21:00:00.097201: step 170, loss = 4.01 (965.3 examples/sec; 0.133 sec/batch)
2017-05-09 21:00:01.384260: step 180, loss = 3.89 (994.5 examples/sec; 0.129 sec/batch)
2017-05-09 21:00:02.690846: step 190, loss = 3.90 (979.7 examples/sec; 0.131 sec/batch)
2017-05-09 21:00:04.098776: step 200, loss = 3.86 (909.1 examples/sec; 0.141 sec/batch)
2017-05-09 21:00:05.260101: step 210, loss = 3.93 (1102.2 examples/sec; 0.116 sec/batch)
2017-05-09 21:00:06.561227: step 220, loss = 3.61 (983.8 examples/sec; 0.130 sec/batch)
2017-05-09 21:00:07.866216: step 230, loss = 3.61 (980.8 examples/sec; 0.130 sec/batch)
2017-05-09 21:00:09.162945: step 240, loss = 3.53 (987.1 examples/sec; 0.130 sec/batch)
2017-05-09 21:00:10.469872: step 250, loss = 3.62 (979.4 examples/sec; 0.131 sec/batch)
2017-05-09 21:00:11.757017: step 260, loss = 3.48 (994.4 examples/sec; 0.129 sec/batch)
2017-05-09 21:00:13.053608: step 270, loss = 3.39 (987.2 examples/sec; 0.130 sec/batch)
2017-05-09 21:00:14.377265: step 280, loss = 4.02 (967.0 examples/sec; 0.132 sec/batch)
2017-05-09 21:00:15.679861: step 290, loss = 3.36 (982.7 examples/sec; 0.130 sec/batch)
2017-05-09 21:00:17.111620: step 300, loss = 3.36 (894.0 examples/sec; 0.143 sec/batch)
2017-05-09 21:00:18.339162: step 310, loss = 3.39 (1042.7 examples/sec; 0.123 sec/batch)
2017-05-09 21:00:19.623710: step 320, loss = 3.45 (996.5 examples/sec; 0.128 sec/batch)
2017-05-09 21:00:20.924877: step 330, loss = 3.34 (983.7 examples/sec; 0.130 sec/batch)
2017-05-09 21:00:22.203385: step 340, loss = 3.19 (1001.2 examples/sec; 0.128 sec/batch)
2017-05-09 21:00:23.492074: step 350, loss = 3.06 (993.3 examples/sec; 0.129 sec/batch)
2017-05-09 21:00:24.788988: step 360, loss = 3.42 (987.0 examples/sec; 0.130 sec/batch)
2017-05-09 21:00:26.110165: step 370, loss = 3.20 (968.8 examples/sec; 0.132 sec/batch)
2017-05-09 21:00:27.396310: step 380, loss = 3.24 (995.2 examples/sec; 0.129 sec/batch)
2017-05-09 21:00:28.675788: step 390, loss = 3.24 (1000.4 examples/sec; 0.128 sec/batch)
2017-05-09 21:00:30.085252: step 400, loss = 3.17 (908.1 examples/sec; 0.141 sec/batch)
2017-05-09 21:00:31.318391: step 410, loss = 3.11 (1038.0 examples/sec; 0.123 sec/batch)
2017-05-09 21:00:32.601989: step 420, loss = 3.11 (997.2 examples/sec; 0.128 sec/batch)
2017-05-09 21:00:33.886683: step 430, loss = 3.20 (996.4 examples/sec; 0.128 sec/batch)
2017-05-09 21:00:35.198125: step 440, loss = 2.84 (976.0 examples/sec;E tensorflow/core/util/events_writer.cc:162] The events file /tmp/cifar10_train/events.out.tfevents.1494377966.GHC44.GHC.ANDREW.CMU.EDU has disappeared.
E tensorflow/core/util/events_writer.cc:131] Failed to flush 23 events to /tmp/cifar10_train/events.out.tfevents.1494377966.GHC44.GHC.ANDREW.CMU.EDU
 0.131 sec/batch)
2017-05-09 21:00:36.487066: step 450, loss = 2.93 (993.1 examples/sec; 0.129 sec/batch)
2017-05-09 21:00:37.798058: step 460, loss = 2.92 (976.4 examples/sec; 0.131 sec/batch)
